,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
47,,"Nadhifa Almira Widodo","2021-04-16 05:56:55",2,no,no,"Kak bisa diet gak? 😊",UCYwXJoW0jH3cJB7hEjDcX4Q,UgxhF758mPtwb2wRmaR4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxhF758mPtwb2wRmaR4AaABAg
48,,"Nadhifa Almira Widodo","2021-04-16 05:59:27",2,no,no,"Kak bagi doooong 😞",UCYwXJoW0jH3cJB7hEjDcX4Q,UgxKIIyPJCX1jT-HjSt4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxKIIyPJCX1jT-HjSt4AaABAg
49,,"Cilegon Cilegon","2021-04-16 07:35:55",2,no,no,"Baju nya kemren beli dmn",UCaCfj9-MzCV0w8cXI8LcJdA,Ugy6jhBdvyp5suKt1lt4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugy6jhBdvyp5suKt1lt4AaABAg
50,,"Sarno Adi","2021-04-16 08:20:59",1,no,no,"Katanya di judul sampe di marahi mama ternyata gk sama sekali",UC_jRlzn__cxKbxDbX8-AK2A,UgyJI1uuSriTUIGE23B4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyJI1uuSriTUIGE23B4AaABAg
51,,"Viora ayu julya","2021-04-16 11:23:27",2,no,no,"Hii kk🙌",UC5nkEjIdKqzYjDpmTLnfUJQ,UgyRIuOVoqsv3IkifQZ4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyRIuOVoqsv3IkifQZ4AaABAg
52,,"Aji Dewanto","2021-04-16 12:43:49",1,no,no,"Justru yg kena hujat laris manist..bentar lagi bisa tembus 10jt lebih ini😅",UCZ0CkceSM-_6zaUQ9LRVnXg,UgzwAthqCGZUzl-XVXR4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzwAthqCGZUzl-XVXR4AaABAg
53,,"priyat no","2021-04-16 13:40:29",0,no,no,"salfok sama bajunya",UCAcwqttgWD4_gZgEOTTm2jw,UgxmgXHzxYf2lqED1JR4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxmgXHzxYf2lqED1JR4AaABAg
54,,"Jamilah gendis","2021-04-16 15:11:07",0,no,no,"The real queen pentol :v",UC0ex6qWEufTekispDsEvRMw,UgzMEHDsJnRcBzRCg8t4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzMEHDsJnRcBzRCg8t4AaABAg
55,,"RIDANI ahmad","2021-04-17 01:23:08",0,no,no,"natural cwek idaman",UCHQzmafdCIU8inkeAYDA5Mw,Ugxtq8aWgtPVKNR_ytV4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugxtq8aWgtPVKNR_ytV4AaABAg
56,,"dede slayer","2021-04-17 04:22:18",0,no,no,"Kita sesama manusia pasti ada kekurang!!
Bener gk jadi sesama manusia no bully",UC3LxHViwqqoEDrPK13qgbfQ,UgwxUQpLnvoWmtJDjoN4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwxUQpLnvoWmtJDjoN4AaABAg
57,,"Mistika Putra","2021-04-17 05:01:24",0,no,no,"Makan itu gk usah kyak babi sih",UCpVwKCz-h174pCfvlxCAcew,UgyQ553ebtSHIjbuRyh4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyQ553ebtSHIjbuRyh4AaABAg
58,,"Yulita Fetriyanti","2021-04-17 07:22:46",0,no,no,"Kak coba mukbang mie pedas pleaseeeeee 😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞❤️❤️❤️❤️❤️❤️❤️❤️❤️",UCqOQ576uz5fbSJolYDVAATA,Ugx4oYFARhbDsZ3x1xx4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugx4oYFARhbDsZ3x1xx4AaABAg
59,,"FADEL AQILA RAMADHANI","2021-04-17 07:44:11",1,no,no,"Telat sehari❌
Telat setahun✔️

Lebih banyak like❌
Lebih banyak dislike✔️",UCYIUOhIo5xwhzwbpSME-Ceg,UgwbI-gU3Zaq7ukxPwh4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwbI-gU3Zaq7ukxPwh4AaABAg
60,,"Mabar Kuyy","2021-04-17 07:49:18",2,no,no,"Puasa nonton solawat❌
Puasa nonton mubang✔️",UC6gY5AoFM1k9HsoGCugJ5ng,UgxcA1MtBRdTRjS5-894AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxcA1MtBRdTRjS5-894AaABAg
61,,TheZuraKing,"2021-04-17 08:02:32",1,no,no,"The legend was born",UCCpKsPIfQ0EcIMOrXzhROhg,UgzepphyREk9TFVKUa94AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzepphyREk9TFVKUa94AaABAg
62,,Aliya,"2021-04-17 09:10:38",0,no,no,"Kekeyi bikin ngiler😢",UCrwv1cLNjK8TLTTNqoDS4vg,Ugw8kKEI0Jn7aiAV0KV4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugw8kKEI0Jn7aiAV0KV4AaABAg
63,,"Eryl Putra Priadi","2021-04-17 09:42:08",0,no,no,"Lah medeni temen",UCbR5VCkpq4jlRbHoVp9Dnrw,UgznPx7XYIfMTJho8t14AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgznPx7XYIfMTJho8t14AaABAg
64,,"「Rezvan」AMONG US ッ","2021-04-17 10:48:31",1,no,no,"Puasa woyyyyyyy salam saya dari #ROBLOX",UCLFcTNZMyn1LbIZnJoUKxOA,Ugx450dZ_nwnUxJluKJ4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugx450dZ_nwnUxJluKJ4AaABAg
65,,"Andik Arema","2021-04-17 11:12:19",0,no,no,"Makanya di kunyah apa enggak tu kok slolot en",UCeKfjB9ZvPaRoRR_M4lQD8A,UgzyZACJIU4RRWSkiC94AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzyZACJIU4RRWSkiC94AaABAg
66,,"Siti Brian","2021-04-17 11:59:15",0,no,no,"Jan mandang orang dengan fisik apa salahnya coba makan pentol kan dia gak ngehina",UCNep04XDMjKXS95g_GBqyWg,UgzcgznE_8hoJmUehXh4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzcgznE_8hoJmUehXh4AaABAg
67,,iaaa,"2021-04-17 13:55:31",0,no,no,"Kesini mau liat komenannya
Inget kenapa kekeyi dihujat?? Hanya gegara mukbang PENTOOLLL??😭",UCBwFy8AzI0I-MxsaZnWGvvA,UgyhdsZFdSxaNc9mQIF4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyhdsZFdSxaNc9mQIF4AaABAg
68,,"Syarif Fauzi","2021-04-17 16:02:38",0,no,no,"Semangat k kekeyi",UCGI6sFDgMDEtpN1WBc5KHFQ,UgzN-sTeIHAg8_2KL_14AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzN-sTeIHAg8_2KL_14AaABAg
